iter	Logloss
0	0.6132118195
1	0.5522445186
2	0.5123524837
3	0.4755247809
4	0.4489075268
5	0.4305533899
6	0.4157787099
7	0.4036155821
8	0.3949241183
9	0.3886017242
10	0.3800621876
11	0.3751168814
12	0.3711343507
13	0.3671661482
14	0.3630612096
15	0.3605722763
16	0.3582663037
17	0.3565377985
18	0.3553661275
19	0.3537080796
20	0.3522606588
21	0.3500217512
22	0.3478390855
23	0.3462096359
24	0.3451149576
25	0.3434896245
26	0.3420979817
27	0.3409800594
28	0.3397989329
29	0.3385179608
30	0.3374325759
31	0.3365651308
32	0.335909844
33	0.3352197278
34	0.3338471563
35	0.3327319815
36	0.3321853371
37	0.3313164174
38	0.3294951496
39	0.3290228842
40	0.327062691
41	0.3264217575
42	0.3251903623
43	0.3244305546
44	0.3236087971
45	0.3226076137
46	0.3221937682
47	0.3207210605
48	0.3197338034
49	0.3193539739
50	0.317935746
51	0.3167173231
52	0.3157396122
53	0.3151467456
54	0.31456347
55	0.3139345308
56	0.3133808888
57	0.3126601321
58	0.3117705156
59	0.3105389756
60	0.3099938544
61	0.3092169608
62	0.3084922551
63	0.3077079194
64	0.306826303
65	0.3061607134
66	0.305527332
67	0.3046875274
68	0.3038101071
69	0.3032128615
70	0.3026624389
71	0.3024198606
72	0.3019395456
73	0.300686581
74	0.2999980712
75	0.2994306473
76	0.2977038471
77	0.2967602908
78	0.295582885
79	0.2951951796
80	0.2937998797
81	0.2929392291
82	0.2915009842
83	0.2907153773
84	0.2904101349
85	0.2889575927
86	0.2879860982
87	0.2870086097
88	0.2860688449
89	0.2856300232
90	0.2849488258
91	0.2832512433
92	0.2825941027
93	0.2820176913
94	0.2817783065
95	0.281278549
96	0.2805038316
97	0.2802482688
98	0.2797836991
99	0.2792520307
100	0.2784671114
101	0.2777419564
102	0.2768808243
103	0.2764062117
104	0.2754416915
105	0.2751218105
106	0.2745950671
107	0.2743305819
108	0.2736233967
109	0.2731510997
110	0.2724324531
111	0.2719859497
112	0.2712740002
113	0.2707316751
114	0.2701386341
115	0.2697058773
116	0.269073275
117	0.2688226726
118	0.2685226266
119	0.2674374225
120	0.2665584924
121	0.2660798488
122	0.2655531625
123	0.2653270463
124	0.265081927
125	0.2639845026
126	0.2630027262
127	0.2624131645
128	0.2611714888
129	0.2606821779
130	0.2600197094
131	0.2591162239
132	0.2587355056
133	0.2582611517
134	0.2577386097
135	0.2571512563
136	0.2564554733
137	0.2560032109
138	0.2552533466
139	0.2548437641
140	0.2539869582
141	0.2533567304
142	0.2530124078
143	0.2526339594
144	0.2522460299
145	0.2516727016
146	0.2511705559
147	0.250467024
148	0.2498634723
149	0.249279629
150	0.2490140142
151	0.2485207767
152	0.248141306
153	0.2474435454
154	0.2466855263
155	0.2461716093
156	0.2455358861
157	0.2450595192
158	0.2439434367
159	0.2435538402
160	0.2427690589
161	0.2420598325
162	0.2413048408
163	0.2409595206
164	0.2403662619
165	0.2401067912
166	0.2389205604
167	0.2383117065
168	0.2377060674
169	0.23747459
170	0.2365027551
171	0.2356481377
172	0.2352658976
173	0.2349746101
174	0.2342063273
175	0.2339154482
176	0.233614699
177	0.232999318
178	0.2325322339
179	0.2319358074
180	0.2311368255
181	0.2307229678
182	0.2303661736
183	0.2299270196
184	0.2297157342
185	0.2294426976
186	0.2282085476
187	0.2277057564
188	0.2274925745
189	0.2269527259
190	0.2263748474
191	0.2258313557
192	0.2256764656
193	0.2247693384
194	0.2239193217
195	0.2231978976
196	0.2225811413
197	0.2218577389
198	0.2213449016
199	0.2204961169
200	0.2197430085
201	0.2193145802
202	0.2190227546
203	0.2184916817
204	0.2178546995
205	0.2167660251
206	0.2160712286
207	0.2145587616
208	0.2138957537
209	0.2134331567
210	0.2125085205
